Terms,docFreq,postList
semarang,28,"[26, 5, 30, 6, 14, 20, 11, 2, 3, 34, 2, 8, 36, 36, 3, 3, 34, 18, 25, 15, 18, 0, 16, 12, 6, 1, 17, 10]"
sembari,1,[8]
sembilan,2,"[29, 29]"
semilir,2,"[9, 9]"
semirang,1,[31]
semua,1,[29]
semuanya,1,[4]
sendiri,2,"[32, 27]"
seni,1,[33]
senin,1,[17]
senjata,1,[26]
sensasi,1,[14]
sepakung,2,"[14, 14]"
sepeda,3,"[27, 31, 28]"
seperti,10,"[28, 24, 27, 5, 28, 34, 36, 23, 16, 10]"
seratnya,1,[19]
serta,3,"[15, 14, 16]"
seru,7,"[9, 28, 10, 5, 34, 10, 10]"
seruan,1,[10]
serunya,1,[3]
serupa,1,[2]
service,1,[18]
sesuai,1,[26]
setebal,1,[14]
setelah,1,[10]
setiap,5,"[16, 3, 17, 17, 36]"
setinggi,1,[12]
sidomukti,5,"[34, 34, 34, 34, 34]"
silahkan,3,"[35, 24, 34]"
silakan,1,[16]
sindoro,1,[27]
singa,1,[15]
singkong,1,[37]
sini,7,"[27, 3, 11, 13, 1, 11, 6]"
sisemut,1,[35]
sistem,1,[20]
siwarak,4,"[17, 17, 17, 17]"
skiban,2,"[10, 10]"
sky,1,[10]
sobat,3,"[11, 13, 10]"
sobatwisata,5,"[6, 5, 0, 4, 7]"
songo,4,"[29, 4, 2, 15]"
sopeardjo,1,[20]
sore,1,[25]
souvenir,1,[24]
soyong,1,[16]
spa,2,"[35, 18]"
space,1,[18]
spesial,1,[3]
spot,5,"[11, 9, 7, 4, 11]"
stamina,1,[29]
stasiun,1,[20]
stop,1,[18]
strategis,1,[9]
stroberi,4,"[7, 7, 0, 7]"
suasana,2,"[35, 31]"
suasanya,1,[12]
subroto,1,[32]
subulussalam,1,[1]
suka,4,"[6, 31, 11, 6]"
sumber,3,"[21, 30, 32]"
sumbing,1,[27]
sumowono,1,[21]
sumur,1,[21]
sungai,2,"[16, 30]"
sunrise,3,"[11, 11, 16]"
susu,3,"[3, 36, 16]"
swafoto,1,[11]
syekh,2,"[1, 1]"
tahun,3,"[30, 22, 20]"
tajam,1,[27]
tak,3,"[15, 17, 14]"
tali,1,[19]
taman,7,"[18, 15, 15, 15, 6, 13, 15]"
tamanwisatakopeng,1,[24]
tampak,1,[27]
tanah,1,[15]
tanam,1,[16]
tanaman,1,[32]
tari,4,"[16, 16, 16, 16]"
tarik,1,[5]
tau,1,[6]
tebing,1,[19]
teknologi,1,[20]
telah,2,"[15, 26]"
telomoyo,1,[27]
telp,1,[16]
teman,1,[13]
tempat,12,"[2, 33, 30, 4, 22, 33, 4, 34, 28, 36, 27, 22]"
tempo,2,"[16, 3]"
tempur,1,[26]
tenang,1,[12]
tengah,4,"[26, 10, 26, 20]"
tenggelam,1,[27]
tennis,1,[18]
tepatnya,2,"[15, 26]"
terbalik,1,[11]
terbaru,2,"[6, 1]"
terbenam,1,[25]
terbit,2,"[25, 27]"
terbuat,1,[37]
tercinta,2,"[26, 10]"
terdapat,9,"[32, 16, 21, 36, 22, 23, 21, 1, 32]"
terjaga,1,[17]
terjangkau,3,"[17, 13, 28]"
terjun,9,"[19, 13, 13, 3, 21, 16, 21, 31, 37]"
terlepas,1,[12]
terletak,15,"[34, 20, 33, 36, 35, 27, 30, 29, 34, 26, 31, 32, 22, 24, 2]"
tersayang,1,[7]
tersebut,3,"[30, 2, 30]"
tersedia,2,"[27, 13]"
tersendiri,1,[8]
tersisa,1,[2]
tertentu,1,[29]
tetapi,1,[17]
the,6,"[36, 23, 7, 23, 36, 36]"
tidak,5,"[17, 15, 17, 2, 14]"
tiga,1,[14]
tiket,5,"[17, 28, 28, 28, 28]"
tiketnya,1,[36]
tinggi,3,"[22, 22, 34]"
tingkatan,1,[21]
tirto,4,"[17, 17, 17, 17]"
tlogo,2,"[27, 27]"
tlogoresort,1,[27]
toko,2,"[33, 33]"
tokoh,2,"[1, 37]"
tol,1,[9]
top,2,"[10, 10]"
topografi,1,[31]
total,1,[14]
tour,1,[3]
touring,1,[13]
tourism,2,"[18, 18]"
tracking,2,"[31, 31]"
tradisi,1,[16]
tradisional,3,"[37, 27, 16]"
training,1,[27]
transportasi,1,[20]
travel,1,[3]
travelgram,2,"[2, 3]"
tree,2,"[10, 10]"
trip,1,[2]
tripadvisor,1,[36]
tropis,1,[27]
tubuh,1,[2]
tumpah,1,[23]
tuntang,2,"[27, 8]"
udah,1,[4]
udara,3,"[34, 7, 32]"
udaranya,1,[33]
ujung,1,[5]
umat,2,"[12, 22]"
umbul,4,"[34, 34, 34, 34]"
umbulsidomukti,1,[34]
ungaran,14,"[33, 27, 17, 35, 35, 29, 3, 21, 31, 23, 20, 17, 31, 1]"
unik,1,[27]
untuk,29,"[4, 6, 24, 27, 27, 21, 35, 1, 31, 33, 35, 17, 16, 29, 17, 23, 13, 36, 33, 2, 34, 34, 25, 14, 21, 20, 13, 3, 15]"
us,1,[24]
utama,4,"[17, 20, 27, 27]"
utara,1,[27]
valley,3,"[36, 36, 36]"
view,1,[27]
vila,2,"[33, 33]"
villa,1,[9]
villajoglo,1,[33]
wafat,2,"[22, 1]"
wahana,11,"[23, 23, 10, 5, 24, 9, 34, 9, 28, 17, 14]"
waktu,1,[25]
warisan,1,[20]
warnai,1,[6]
waterpark,6,"[28, 24, 24, 24, 28, 28]"
watu,2,"[6, 3]"
website,4,"[16, 27, 33, 18]"
websitenya,1,[24]
wib,1,[17]
willem,1,[20]
wisata,34,"[13, 18, 7, 6, 26, 34, 13, 31, 26, 32, 16, 3, 34, 1, 1, 30, 16, 9, 5, 21, 13, 16, 36, 24, 3, 15, 31, 4, 16, 30, 17, 2, 29, 18]"
wisatareligi,1,[8]
wisatasemarang,5,"[2, 6, 4, 3, 5]"
wisatawan,2,"[30, 26]"
woro,2,"[5, 5]"
wuih,1,[6]
ya,4,"[11, 13, 7, 10]"
yaaa,1,[2]
yaitu,5,"[16, 14, 28, 37, 17]"
yakni,1,[29]
yang,90,"[11, 37, 26, 27, 25, 23, 2, 26, 33, 15, 26, 26, 25, 30, 31, 32, 27, 1, 27, 25, 26, 33, 33, 24, 30, 19, 19, 12, 6, 14, 18, 28, 35, 28, 35, 31, 35, 28, 16, 35, 14, 18, 16, 29, 9, 34, 17, 9, 31, 23, 17, 16, 29, 34, 12, 30, 29, 29, 35, 35, 19, 27, 36, 23, 14, 30, 27, 3, 22, 27, 32, 27, 22, 28, 36, 21, 34, 21, 16, 20, 21, 29, 13, 21, 20, 36, 32, 27, 16, 5]"
yesus,1,[22]
youghurt,1,[36]
yuk,3,"[0, 3, 6]"
ziarah,1,[22]
zipcoaster,1,[10]
zona,1,[17]
