Terms,docFreq,postList
dan,73,"[37, 28, 29, 32, 27, 31, 20, 24, 34, 10, 36, 5, 16, 28, 4, 36, 32, 10, 2, 27, 17, 30, 24, 15, 33, 16, 23, 26, 36, 23, 21, 12, 33, 23, 20, 29, 27, 28, 27, 24, 13, 24, 17, 30, 27, 16, 21, 31, 16, 27, 28, 35, 27, 18, 35, 35, 18, 34, 35, 18, 16, 25, 24, 0, 14, 17, 36, 35, 5, 17, 14, 34, 22]"
danuwo,1,[5]
dapat,16,"[18, 16, 36, 20, 16, 35, 36, 33, 32, 37, 22, 36, 26, 4, 33, 29]"
dari,31,"[33, 8, 19, 37, 29, 27, 29, 25, 6, 15, 28, 11, 17, 23, 9, 36, 37, 1, 20, 30, 30, 27, 32, 29, 17, 7, 24, 21, 34, 12, 26]"
datang,4,"[5, 15, 16, 4]"
dataran,1,[34]
daya,1,[5]
deh,2,"[6, 7]"
dekat,1,[20]
demak,1,[1]
demikian,2,"[29, 21]"
dengan,35,"[35, 22, 34, 23, 23, 17, 30, 15, 2, 36, 31, 21, 33, 21, 10, 31, 32, 37, 13, 26, 13, 0, 28, 27, 13, 20, 32, 14, 24, 28, 13, 33, 17, 23, 26]"
denok,1,[16]
desa,21,"[16, 15, 19, 34, 33, 37, 2, 1, 14, 17, 16, 20, 30, 31, 16, 3, 1, 21, 16, 13, 25]"
desawisatalerep,2,"[16, 16]"
destinasi,2,"[17, 33]"
detail,1,[21]
dewasa,3,"[5, 17, 23]"
di,79,"[14, 0, 14, 0, 17, 30, 13, 13, 30, 31, 32, 21, 14, 24, 16, 15, 15, 14, 31, 15, 29, 30, 1, 35, 26, 10, 3, 10, 8, 3, 3, 10, 20, 17, 25, 3, 22, 25, 8, 22, 3, 36, 29, 34, 6, 18, 25, 20, 5, 19, 6, 9, 34, 22, 34, 28, 27, 27, 1, 2, 6, 12, 33, 26, 27, 11, 2, 10, 22, 36, 37, 25, 21, 3, 21, 1, 27, 7, 11]"
diadakan,1,[30]
diajak,1,[31]
diantara,2,"[24, 27]"
dibanderol,1,[28]
dibangun,3,"[20, 2, 22]"
dibeli,1,[35]
dicampur,1,[37]
dicoba,1,[28]
didalamnya,1,[35]
didatangkan,1,[15]
didesain,1,[15]
digunakan,1,[29]
diinginkan,1,[25]
dijangkau,1,[9]
dijatengaja,7,"[5, 3, 6, 2, 8, 4, 9]"
dijumpai,1,[16]
dikarenakan,1,[17]
dikatakan,1,[37]
dikenakan,1,[36]
dikenal,2,"[1, 28]"
dikunjungi,1,[34]
dilaksanakan,1,[30]
dilakukan,1,[17]
dilalui,1,[13]
dilengkapi,6,"[17, 23, 26, 27, 33, 34]"
dimana,1,[36]
dimanfaatkan,1,[30]
dinamakan,2,"[19, 37]"
dinasti,1,[29]
dingin,1,[34]
diperbolehkan,2,"[14, 14]"
dipergunakan,1,[26]
dipetik,1,[32]
dipuro,1,[1]
diragukan,1,[15]
diri,1,[8]
disamping,1,[30]
disana,1,[36]
disebut,1,[19]
disediakan,2,"[22, 23]"
disinggahi,1,[2]
disini,1,[25]
disuguhi,1,[21]
disuguhkan,1,[34]
ditempuh,2,"[27, 27]"
ditemukan,3,"[37, 29, 2]"
ditukar,1,[36]
diyakini,1,[2]
dll,1,[9]
doa,1,[22]
dolanjateng,1,[3]
drumblek,1,[16]
dua,2,"[37, 13]"
duduk,1,[22]
dukuh,2,"[2, 2]"
dulu,2,"[16, 3]"
dunia,1,[15]
dusun,4,"[9, 9, 16, 17]"
eco,1,[3]
ecotour,1,[16]
edu,2,"[3, 16]"
education,2,"[18, 34]"
edukasi,4,"[7, 18, 26, 36]"
effiel,1,[15]
eksotis,1,[25]
elegan,1,[27]
emang,1,[4]
ember,1,[23]
embung,1,[3]
empat,2,"[17, 23]"
eropa,5,"[35, 9, 15, 35, 15]"
event,1,[18]
exit,1,[9]
explorejateng,5,"[4, 3, 8, 2, 5]"
family,1,[28]
farm,1,[36]
fasilitas,6,"[18, 24, 27, 27, 28, 27]"
favorit,1,[23]
flying,3,"[34, 28, 27]"
follow,6,"[0, 1, 6, 2, 4, 3]"
foto,9,"[21, 25, 37, 32, 7, 23, 22, 25, 36]"
fotografi,2,"[25, 27]"
fountain,2,"[23, 23]"
fountainungaran,1,[23]
fox,3,"[28, 27, 34]"
fun,1,[24]
fungsi,1,[20]
g,1,[36]
ga,1,[7]
gajah,1,[6]
galeri,2,"[35, 33]"
gambyong,1,[16]
gangsing,1,[16]
garden,1,[7]
gardening,1,[28]
gathering,1,[24]
gatot,1,[32]
gazibu,1,[27]
gedong,4,"[15, 4, 2, 29]"
gedongsongo,5,"[11, 11, 11, 29, 29]"
gedung,1,[24]
gemawang,1,[19]
gepuk,1,[16]
getasan,2,"[10, 10]"
glamping,2,"[11, 10]"
gmka,2,"[12, 12]"
goa,1,[27]
gogik,1,[31]
gua,8,"[22, 22, 22, 22, 8, 12, 12, 8]"
gubernur,1,[20]
gugusan,3,"[27, 20, 25]"
gula,2,"[16, 37]"
gumuk,2,"[14, 14]"
gunung,10,"[31, 31, 24, 29, 35, 31, 1, 23, 17, 3]"
ha,2,"[24, 28]"
hadir,1,[16]
hall,2,"[18, 28]"
halloween,1,[11]
hamparan,2,"[27, 30]"
hanya,5,"[13, 9, 13, 17, 2]"
harga,2,"[13, 17]"
hari,7,"[36, 17, 25, 17, 17, 25, 27]"
harus,2,"[29, 21]"
hasan,2,"[1, 1]"
heran,1,[17]
heritage,1,[2]
hidangan,1,[27]
hidup,1,[1]
hiils,1,[33]
hijau,2,"[21, 7]"
hijaunya,1,[36]
hill,2,"[11, 11]"
hills,1,[33]
hingga,7,"[17, 11, 1, 36, 18, 17, 23]"
hl,2,"[23, 25]"
hortimart,3,"[32, 32, 32]"
hotel,2,"[28, 18]"
hubungi,1,[35]
hutan,1,[21]
i,1,[20]
ialah,1,[16]
icip,2,"[3, 3]"
id,5,"[18, 36, 23, 27, 25]"
ikan,1,[30]
ikon,2,"[15, 13]"
indah,8,"[7, 35, 12, 31, 30, 21, 28, 16]"
indonesia,3,"[26, 12, 21]"
indonesiakaya,1,[21]
indoor,1,[18]
indrokilo,2,"[16, 3]"
info,8,"[3, 0, 4, 6, 24, 2, 33, 1]"
informasi,4,"[34, 35, 35, 16]"
ingat,1,[14]
ingin,5,"[27, 28, 29, 16, 22]"
inhouse,1,[27]
ini,28,"[20, 33, 17, 29, 27, 19, 37, 36, 22, 33, 31, 28, 21, 30, 16, 5, 14, 36, 37, 13, 22, 29, 21, 20, 26, 15, 17, 37]"
instagram,4,"[25, 23, 16, 16]"
instagrammable,3,"[11, 9, 11]"
instruksi,1,[20]
iriban,1,[16]
isdiman,2,"[26, 26]"
islam,1,[1]
istimewa,2,"[27, 18]"
itu,3,"[34, 10, 32]"
iya,2,"[10, 6]"
jadi,1,[13]
jajanan,1,[16]
jalan,12,"[22, 21, 30, 27, 20, 27, 26, 3, 3, 27, 27, 10]"
jalur,1,[27]
jam,2,"[25, 36]"
jangan,1,[2]
jantung,1,[28]
jaran,1,[16]
jasa,2,"[26, 29]"
jatenggayeng,7,"[3, 2, 4, 9, 6, 8, 5]"
jatenghits,1,[2]
jatuh,2,"[10, 19]"
jauh,3,"[15, 15, 8]"
java,2,"[36, 36]"
jawa,7,"[26, 20, 19, 35, 35, 10, 29]"
jawabannya,1,[4]
jawabnya,1,[9]
jejakpiknik,1,[22]
jelajah,2,"[3, 21]"
jembatan,4,"[14, 14, 14, 21]"
jenis,1,[15]
jepang,1,[11]
jernih,2,"[17, 16]"
jika,1,[27]
jl,3,"[35, 18, 32]"
jogja,1,[20]
joglo,4,"[33, 26, 33, 33]"
juga,20,"[21, 22, 27, 32, 13, 11, 30, 0, 23, 16, 24, 14, 10, 27, 15, 16, 18, 9, 29, 36]"
jumat,1,[17]
jumlah,1,[29]
jump,1,[10]
jumpai,1,[10]
ka,1,[20]
kab,5,"[3, 2, 17, 1, 11]"
kabupaten,11,"[5, 3, 6, 14, 8, 0, 34, 15, 12, 34, 2]"
kaca,3,"[14, 14, 14]"
kacang,1,[36]
kadeso,1,[16]
kafe,2,"[34, 35]"
kakao,1,[18]
kaki,3,"[2, 14, 24]"
kalah,1,[14]
kalangan,1,[25]
kalau,4,"[6, 6, 4, 5]"
kalian,1,[6]
kaliurip,4,"[13, 13, 13, 13]"
kaliwungu,1,[5]
kamis,1,[17]
kampoeng,3,"[18, 18, 18]"
kampoengkopibanaran,1,[18]
kampung,3,"[11, 11, 11]"
kamu,4,"[13, 7, 11, 0]"
kan,1,[11]
kanan,1,[31]
kangen,1,[0]
kaos,1,[24]
karaoke,1,[24]
karena,2,"[19, 2]"
karet,1,[18]
kata,1,[37]
katolik,2,"[22, 12]"
kawasan,3,"[15, 30, 31]"
kayana,1,[0]
kayu,1,[22]
ke,16,"[16, 3, 6, 4, 14, 36, 6, 15, 30, 13, 5, 15, 6, 5, 6, 3]"
kearah,1,[31]
kebersihannya,1,[17]
kebondowo,1,[25]
kebun,1,[7]
kec,1,[10]
kecamatan,11,"[17, 13, 14, 5, 12, 22, 2, 30, 25, 8, 19]"
keceh,2,"[6, 5]"
kedalaman,3,"[23, 17, 13]"
kedamaian,1,[8]
kedua,1,[3]
keempat,1,[3]
keheningan,1,[8]
keindahan,1,[15]
keji,1,[33]
kelima,1,[3]
kelinci,2,"[6, 6]"
keluarga,9,"[24, 9, 3, 9, 33, 36, 24, 5, 10]"
kelurahan,1,[22]
kembar,2,"[37, 37]"
kemiri,1,[13]
kenapa,1,[12]
kendaraan,2,"[26, 13]"
kental,1,[35]
kenyang,1,[5]
kepang,1,[16]
kepenatan,1,[27]
kerajinan,1,[16]
keramaian,1,[8]
keren,1,[11]
kerep,5,"[12, 12, 22, 22, 22]"
kereta,3,"[20, 20, 20]"
keripik,1,[3]
kesatu,1,[3]
kesejukan,1,[23]
keseneng,1,[21]
kesenian,2,"[16, 16]"
kesibukan,1,[27]
kesultanan,1,[1]
ketiga,1,[3]
ketinggian,7,"[13, 34, 34, 21, 6, 14, 21]"
khas,5,"[35, 27, 13, 37, 35]"
khusus,2,"[36, 14]"
kidcastle,1,[28]
kilometer,1,[20]
kincir,1,[15]
kingkong,1,[6]
kini,1,[1]
kirinya,1,[31]
km,4,"[26, 30, 33, 18]"
kolam,12,"[23, 6, 18, 17, 17, 34, 17, 17, 17, 17, 27, 5]"
koleksi,1,[26]
kolonial,1,[20]
komplek,1,[29]
kompleks,1,[29]
komplit,2,"[9, 34]"
kondisi,1,[21]
kondisinya,1,[2]
konstruksi,1,[2]
kopeng,6,"[10, 10, 10, 24, 24, 24]"
kopi,6,"[18, 18, 16, 18, 18, 31]"
korea,1,[9]
kota,9,"[25, 26, 20, 30, 31, 26, 20, 24, 36]"
kuat,1,[29]
kuda,2,"[29, 24]"
kuliner,3,"[13, 3, 3]"
kulineran,1,[9]
kunjungi,5,"[24, 27, 35, 34, 18]"
kuno,2,"[20, 20]"
kurang,3,"[30, 26, 29]"
kuuyyyy,1,[6]
labirin,1,[11]
lagi,4,"[15, 4, 28, 36]"
lain,4,"[16, 26, 18, 27]"
lainnya,7,"[4, 10, 28, 31, 2, 34, 3]"
lalu,1,[10]
lama,1,[25]
langit,2,"[14, 14]"
langsung,3,"[7, 15, 5]"
lanjut,3,"[10, 24, 35]"
lapar,1,[13]
lapis,1,[14]
lawe,3,"[19, 19, 19]"
layang,1,[28]
lebih,7,"[26, 35, 30, 24, 24, 28, 27]"
leisure,1,[34]
lengkap,2,"[2, 15]"
lereng,3,"[31, 29, 1]"
lerep,5,"[3, 16, 16, 17, 16]"
letaknya,1,[34]
lewat,1,[27]
lho,1,[0]
liburan,1,[15]
liburanmu,1,[6]
liburannya,1,[15]
lidah,2,"[23, 35]"
lihat,1,[6]
lima,1,[13]
limbah,1,[16]
little,1,[34]
live,1,[28]
lokal,1,[27]
lokasi,2,"[21, 29]"
lokasinya,2,"[9, 11]"
luar,2,"[25, 12]"
luas,3,"[28, 24, 27]"
lupa,1,[2]
m,5,"[13, 17, 22, 14, 22]"
mabur,1,[37]
magelang,2,"[24, 26]"
magnet,1,[12]
main,2,"[6, 6]"
majapahit,1,[2]
makamnya,1,[1]
makanan,4,"[37, 32, 16, 37]"
makin,1,[5]
maksimal,1,[14]
mampir,1,[6]
mampirlah,1,[3]
mari,1,[8]
maria,10,"[22, 8, 22, 12, 8, 22, 12, 22, 22, 12]"
marine,1,[34]
masa,1,[1]
masakan,3,"[35, 5, 27]"
masih,3,"[34, 14, 28]"
masjid,1,[1]
masuk,3,"[28, 17, 36]"
masyarakat,1,[2]
mata,3,"[21, 27, 17]"
matahari,3,"[27, 25, 25]"
mau,3,"[6, 9, 6]"
meeting,1,[18]
melakukan,2,"[28, 22]"
melalui,1,[27]
melepas,1,[28]
melepaskan,1,[27]
melewati,2,"[21, 27]"
melihat,2,"[21, 36]"
meliuk,1,[17]
melompat,1,[14]
memacu,2,"[9, 17]"
memahami,1,[26]
memamerkan,1,[20]
memandang,1,[27]
memanfaatkan,1,[29]
memanjakan,2,"[23, 35]"
membawa,1,[20]
membeli,1,[36]
memberi,1,[8]
